episode,steps,reward_0,reward_1,reward_2,collisions_0,collisions_1,collisions_2
0,6,-16.766850331727344,-0.10018366506067837,0.10018366506067837,0.0,0.0,0.0
1,9,-0.1265033551195288,-11.23761446623064,0.1265033551195288,0.0,0.0,0.0
2,1,-100.19414272250823,-0.1941427225082305,0.1941427225082305,0.0,0.0,0.0
3,10,-0.16697327208052598,-10.166973272080526,0.16697327208052598,0.0,0.0,0.0
4,51,-2.1608770151721775,-0.2000927014466875,0.2000927014466875,0.0,0.0,0.0
5,13,-8.026188322723291,-0.33388063041559884,0.33388063041559884,0.0,0.0,0.0
6,15,-0.24700806986623552,-6.913674736532902,0.2391757025475482,0.0,0.0,0.0
7,50,-2.1617643100680337,-0.16176431006803382,0.16176431006803382,0.0,0.0,0.0
8,8,-12.810260680353835,-0.3102606803538342,0.031713292011857755,0.0,0.0,0.0
9,25,-4.206374587574519,-0.20637458757451907,0.20637458757451907,0.0,0.0,0.0
10,2,-0.16051718211006016,-50.160517182110056,0.16051718211006016,0.0,0.0,0.0
11,34,11.573962224145168,11.573962224145168,-14.581546363054969,0.0,4.0,4.0
12,4,-0.1635827754230948,-25.163582775423098,0.1635827754230948,0.0,0.0,0.0
13,18,-0.30100612953600453,-5.85656168509156,0.2515290975312594,0.0,0.0,0.0
14,3,-33.53412970424397,-0.2007963709106362,0.2007963709106362,0.0,0.0,0.0
15,64,6.148818697516046,6.148818697516046,-7.743660915038914,0.0,4.0,4.0
16,10,-0.3870460778245898,-0.3870460778245898,-9.827763439843018,0.0,0.0,0.0
17,8,-0.2895932295109089,-12.789593229510908,0.2895932295109089,0.0,0.0,0.0
18,22,-0.2945526846860288,-0.2945526846860288,-4.372506408779653,0.0,0.0,0.0
19,81,2.3101838972695083,2.3101838972695083,-3.569105288954324,0.0,2.0,2.0
20,7,-0.17937012903637797,-0.17937012903637797,-14.312893814047168,0.0,0.0,0.0
21,15,-7.033793654593043,-7.033793654593043,0.3329161286925213,0.0,0.0,0.0
22,20,14.928188135782241,9.92818813578224,-14.935677846551268,0.0,3.0,3.0
23,17,-0.2314939507894291,-0.2314939507894291,-5.74079864561768,0.0,0.0,0.0
24,25,-0.1637760471345387,-4.163776047134538,0.15277033483771293,0.0,0.0,0.0
25,60,-0.18545143291236882,1.4812152337542979,-1.503718528334973,1.0,0.0,1.0
26,26,7.588061298071507,7.588061298071507,-11.498616214955364,2.0,0.0,2.0
27,40,-0.21141880882336755,-0.21141880882336755,-2.4043889962490974,0.0,0.0,0.0
28,24,-0.21456689894162354,-4.38123356560829,0.1260105916504192,0.0,0.0,0.0
29,1,-0.3492221854023508,-0.3492221854023508,-100.69982028335774,0.0,0.0,0.0
30,3,-33.53681483680024,-0.20348150346690771,0.20348150346690771,0.0,0.0,0.0
31,14,-7.30762029641905,-0.16476315356190718,0.16476315356190718,0.0,0.0,0.0
32,3,-0.25971265443520314,-33.59304598776854,0.25971265443520314,0.0,0.0,0.0
33,14,-0.22248196675390755,-0.22248196675390755,-7.143338423885786,0.0,0.0,0.0
34,9,-0.2712792829092954,-11.382390394020407,0.2712792829092954,0.0,0.0,0.0
35,8,-0.30647554827137874,-0.30647554827137874,-12.405878876583985,0.0,0.0,0.0
36,12,-8.460716646933172,-0.1273833135998384,0.1273833135998384,0.0,0.0,0.0
37,112,-0.15867082849949515,-0.15867082849949515,-0.7610187551392433,0.0,0.0,0.0
38,4,-0.2533560552155265,-0.2533560552155265,-25.426521020366337,0.0,0.0,0.0
39,7,-0.2158787811279877,14.069835504586298,-14.239005864890563,0.0,1.0,1.0
40,1,-100.17644909703723,-0.17644909703723816,0.17644909703723816,0.0,0.0,0.0
41,9,-0.2183588327770388,-11.32946994388815,0.2183588327770388,0.0,0.0,0.0
42,63,-0.21046625569970767,-0.21046625569970767,-1.4208944006862665,0.0,0.0,0.0
43,32,2.9087514123747473,2.9087514123747473,-6.086241144611034,1.0,0.0,1.0
44,19,5.067676553967086,5.067676553967086,-10.458944308145126,0.0,1.0,1.0
45,23,-0.26275300659820644,-0.26275300659820644,-4.1429633008081845,0.0,0.0,0.0
46,2,-50.38611331223062,-0.38611331223061984,0.38611331223061984,0.0,0.0,0.0
47,12,-0.17648240155151496,-0.17648240155151496,-8.418126161794524,0.0,0.0,0.0
48,26,-0.1527411437182989,-3.9988949898721446,0.13350497127429314,0.0,0.0,0.0
49,41,-0.19527011645723275,-0.19527011645723275,-2.3038883511293644,0.0,0.0,0.0
50,50,-0.19457411696890783,-0.19457411696890783,-1.904563117237558,0.0,0.0,0.0
51,2,-0.20711672562362016,-0.20711672562362016,-50.773583809815655,0.0,0.0,0.0
52,11,-0.3160625163080644,-0.3160625163080644,-8.989643688472022,0.0,0.0,0.0
53,8,-12.75227576297899,-0.25227576297898985,0.25227576297898985,0.0,0.0,0.0
54,11,-0.2234530570023683,-0.2234530570023683,-9.038675519422647,0.0,0.0,0.0
55,18,-0.32041655592051144,-0.32041655592051144,-5.731391536897871,0.0,0.0,0.0
56,72,2.567287625462542,2.567287625462542,-4.013354812529654,2.0,0.0,2.0
57,74,2.6076461838926246,2.6076461838926246,-4.004804822657294,2.0,0.0,2.0
58,56,3.4616251189948133,3.4616251189948133,-5.28563871555236,1.0,1.0,2.0
59,47,-0.16330157257731476,-2.2909611470454,0.16330157257731476,0.0,0.0,0.0
60,9,-0.2198902784012953,-11.331001389512405,0.2198902784012953,0.0,0.0,0.0
61,13,-7.839714914407713,-0.14740722210002075,0.14740722210002075,0.0,0.0,0.0
62,49,-2.1808471808046437,-0.1400308542740312,0.1400308542740312,0.0,0.0,0.0
63,5,-0.349546100733132,-0.349546100733132,-20.41996367858417,0.0,0.0,0.0
64,28,-0.2032595237423915,-0.2032595237423915,-3.5380151523577914,0.0,0.0,0.0
65,29,-3.565527253802242,-0.11725139173327633,0.11526577652724868,0.0,0.0,0.0
66,65,4.532012180144517,6.070473718606055,-6.12594353429978,4.0,0.0,4.0
67,13,-0.1196036308666506,-7.811911323174343,0.1196036308666506,0.0,0.0,0.0
68,3,-33.67248219483981,-0.3391488615064712,0.3391488615064712,0.0,0.0,0.0
69,13,-0.23014010216772524,-7.922447794475418,0.20742060355426573,0.0,0.0,0.0
70,15,-6.9433337135409925,-0.2766670468743253,0.2766670468743253,0.0,0.0,0.0
71,37,-2.9047785290228947,-0.20207582632019186,0.19740061623306435,0.0,0.0,0.0
72,6,-0.26130831137820776,-16.927974978044873,0.26130831137820776,0.0,0.0,0.0
73,36,-0.16826405624493368,-0.16826405624493368,-2.7243602244368073,0.0,0.0,0.0
74,7,-0.17364725563645056,-14.459361541350736,0.17364725563645056,0.0,0.0,0.0
75,1,-100.15705355055877,-0.15705355055876632,0.15705355055876632,0.0,0.0,0.0
76,19,-0.20840248910551185,-0.20840248910551185,-5.115717427037572,0.0,0.0,0.0
77,3,-0.37660625132183423,-0.37660625132183423,-33.680282437328096,0.0,0.0,0.0
78,9,-0.2424369831345767,-0.2424369831345767,-11.407907643189306,0.0,0.0,0.0
79,6,-0.207009750110231,-0.207009750110231,-16.885929542971525,0.0,0.0,0.0
80,1,-0.2387183468764191,-0.2387183468764191,-100.77761317976334,0.0,0.0,0.0
81,6,-16.831543536281046,-0.1648768696143795,0.1648768696143795,0.0,0.0,0.0
82,22,-0.1997978082934589,-0.1997978082934589,-4.513542112326243,0.0,0.0,0.0
