episode,steps,reward_0,reward_1,collisions_0,collisions_1
0,22,4.503098490938796,-9.113806820549316,1.0,1.0
1,5,-20.18070052341246,0.149392712512563,0.0,0.0
2,73,-1.4226735471001457,0.05281053340151565,0.0,0.0
3,54,-1.9344009740463988,0.08254912219454677,0.0,0.0
4,61,-0.056088599465506865,-1.6355548490794212,0.0,0.0
5,2,-0.14939204737399253,-50.8073377011154,0.0,0.0
6,9,-0.02099621909242444,-11.090114892018686,1.0,1.0
7,69,-0.06455114566575018,-1.4260021104551037,0.0,0.0
8,7,-14.380364151055133,0.09464986534084727,0.0,0.0
9,29,-0.1806103316771874,-3.5954393380540064,0.0,0.0
10,34,-3.0188811694977313,0.07770469890949604,0.0,0.0
11,8,-12.619043245153215,0.11904324515321454,0.0,0.0
12,32,-0.060114975874208935,-3.122970556223246,0.0,0.0
13,84,-1.2778594797767926,0.08738328930060228,0.0,0.0
14,17,-0.12859134786718793,-5.875485513370883,0.0,0.0
15,8,-12.643373557754966,0.14337355775496602,0.0,0.0
16,125,0.7329693060453226,-1.5576231818965784,1.0,1.0
17,13,-0.13558707967798994,-7.814055645802146,0.0,0.0
18,23,-4.534864475413131,0.06898266285145137,0.0,0.0
19,32,-0.14372365331201242,-3.070465635094548,0.0,0.0
20,25,-0.029369509191162494,-4.066938763706554,0.0,0.0
21,1,-100.17849589021351,0.17849589021351173,0.0,0.0
22,17,-5.956234606437927,0.07388166526145665,0.0,0.0
23,48,-0.106584448122179,-2.1004319606860307,0.0,0.0
24,23,-0.1322801209653545,-4.325705769009097,0.0,0.0
25,17,-0.15212451798801946,-5.988865067495927,0.0,0.0
26,36,-0.10839203431254114,-2.747398858061439,0.0,0.0
27,28,-3.7082122358665233,0.13678366443795173,0.0,0.0
28,36,-0.06874866167954685,-2.7730832765309064,0.0,0.0
29,15,-6.872211508364811,0.20554484169814455,0.0,0.0
30,41,-0.08794100309297259,-2.398066994710595,0.0,0.0
31,7,-0.0382665110369786,-14.846980962169129,0.0,0.0
32,4,-25.180228352851387,0.1802283528513853,0.0,0.0
33,65,-0.09931032421831144,-1.4816103717328837,0.0,0.0
34,3,-33.43382347299738,-0.3127163041307767,0.0,0.0
35,4,-0.24751963827020945,-25.24025083410615,0.0,0.0
36,42,-0.084811566103415,-2.405791637809717,0.0,0.0
37,71,2.7715938526951747,-4.342203608879591,2.0,2.0
38,6,-0.14964138841597766,-16.69216698467564,0.0,0.0
39,6,-16.78223612165956,-0.041422021629638865,0.0,0.0
40,17,-5.9719005382758095,0.08954759709933882,0.0,0.0
41,15,-6.793349405540245,0.1266827388735791,0.0,0.0
42,31,3.1362434630607283,-6.426141786110996,1.0,1.0
43,4,-0.16694449421306845,-25.736160455692325,0.0,0.0
44,22,4.513428359557819,-9.179736696976057,1.0,1.0
45,98,-0.10301860272982603,-0.9637628156619584,0.0,0.0
46,132,-0.07273506181822162,-0.6990686202616961,0.0,0.0
47,9,-0.08952314315377569,-11.213913257627558,0.0,0.0
48,12,-8.389813847956125,-0.1519109132283736,0.0,0.0
49,3,-0.13204302986681532,-33.98083788804286,0.0,0.0
50,96,-1.1226189824888064,0.08095231582213977,0.0,0.0
51,144,0.6106732162157784,-1.3051176606602228,2.0,2.0
52,27,-3.8289386739412414,0.12523497023753774,0.0,0.0
53,36,-0.09078976461170177,-2.7427739162933427,0.0,0.0
54,101,0.9273669723125852,-1.940254750713577,1.0,1.0
55,64,-0.08272603975267517,-1.5599640686821388,0.0,0.0
56,34,-0.04486268607284316,-3.02247621704804,0.0,0.0
57,2,-0.0338824675758645,-50.850772371074015,0.0,0.0
58,20,-5.103779376885726,0.1037793768857261,0.0,0.0
59,15,-0.13863917080425134,-6.634479381284179,0.0,0.0
60,20,-5.0947982180047084,0.09479821800470861,0.0,0.0
61,44,-0.06447200681794092,-2.256620935690137,0.0,0.0
62,157,1.8045351967266405,-2.4560291829370557,3.0,3.0
63,2,-50.109731937349544,0.10973193734954817,0.0,0.0
64,30,-0.03428612747147155,-3.3809031928496727,0.0,0.0
65,11,-9.213184154075844,0.12227506316675259,0.0,0.0
66,31,-0.13038850898952978,-3.167088088967093,0.0,0.0
67,15,-6.736983703823169,0.07031703715650228,0.0,0.0
68,31,-3.299941764284716,0.07413531267181289,0.0,0.0
69,83,-0.08407817480814442,-1.2035597696658207,1.0,1.0
70,10,-10.093475856990322,0.09347585699032177,0.0,0.0
71,16,-0.04102686286996097,-6.322880485718565,0.0,0.0
72,32,-0.11152308033343745,-3.050564373586537,0.0,0.0
73,27,-0.1185254289996917,-3.675149137905837,0.0,0.0
74,14,-0.05814325687060797,-7.210805379843537,0.0,0.0
75,4,-25.149881065761075,0.14988106576107607,0.0,0.0
76,15,-0.13407602276452965,-7.296375810557508,0.0,0.0
77,40,-2.66332191095439,0.16332191095439016,0.0,0.0
78,33,-3.1459866310304605,0.08624401155852769,0.0,0.0
79,26,-0.08094397955262649,-3.8905944756143294,0.0,0.0
80,45,-2.2730449767323675,0.04910846474560575,0.0,0.0
81,18,-0.17178073631915045,-5.65430014799529,0.0,0.0
82,32,-0.05844351225805021,-3.141861409376122,0.0,0.0
83,22,-4.707627153252038,0.1016846816589883,0.0,0.0
84,4,-0.02771069005644886,-25.56617132344125,0.0,0.0
85,54,-0.10803231972999354,-1.7695907288371742,0.0,0.0
86,43,-0.09938264108015427,-2.264516660400992,0.0,0.0
87,16,-6.403883354206846,0.15388335420684504,0.0,0.0
88,12,-0.09844654605697097,-8.441047086684392,0.0,0.0
89,1,-100.13768359939839,0.1376835993983794,0.0,0.0
90,14,-0.16785382496330364,-7.061579735118017,0.0,0.0
91,39,-2.6821423237699906,0.11803975966742628,0.0,0.0
92,10,-0.08421665798984516,-10.079877928522519,0.0,0.0
93,51,-0.1336966368272681,-1.8588865449114773,0.0,0.0
94,84,2.3245127030134056,-3.5521081743908307,2.0,2.0
95,126,-0.8686826712364024,0.04853752853746952,0.0,0.0
96,27,-3.9186695428994938,0.07323973907583091,0.0,0.0
97,6,-0.19363244926131606,-16.721939953361677,0.0,0.0
98,3,-0.11125034734658705,-33.97549938907252,0.0,0.0
99,2,-0.13285569238379574,-50.93141135438678,0.0,0.0
100,3,-0.14465672820492614,-34.08808974116156,0.0,0.0
101,51,1.8912432622688624,-3.897732326401078,1.0,1.0
102,12,-0.021590155471114276,-8.311743177862219,1.0,1.0
103,2,-50.13218902746286,0.13218902746285682,0.0,0.0
104,39,-0.14110555021543908,-2.4852911375939777,0.0,0.0
105,1,-0.06256455101356513,-100.99560873675176,0.0,0.0
106,13,-7.769932721283467,0.07762502897577407,0.0,0.0
107,120,-0.0683041003464839,-0.7755670937222721,1.0,1.0
108,12,-0.08625970705876868,-8.846566732383296,0.0,0.0
109,5,-20.03691108057867,-0.04229980922994112,0.0,0.0
110,4,-0.06505254489538934,-25.577007325319787,0.0,0.0
111,71,1.361600161200804,-2.814173069150511,1.0,1.0
112,48,-2.171195195577503,0.08786186224416975,0.0,0.0
113,4,-0.16562961559222333,-25.57846979729707,0.0,0.0
114,23,-0.045269861898245736,-4.353134151987748,0.0,0.0
115,2,-0.16174938071956976,-50.7542098861662,0.0,0.0
116,83,-1.332931205697575,0.12811192858914122,0.0,0.0
117,20,-0.11216626728909337,-5.010690338052951,0.0,0.0
118,138,0.6376179642053953,-1.375482486796741,1.0,1.0
