episode,steps,reward_0,reward_1,reward_2,collisions_0,collisions_1,collisions_2
0,6,-16.728259216177563,0.13156069948121127,0.09232697415558032,0.0,0.0,0.0
1,156,-0.060191821703941974,0.11135201211488455,-0.521357895701115,0.0,0.0,0.0
2,35,-0.03799504223561355,0.10702742473601692,-2.795238192101959,1.0,0.0,1.0
3,16,-0.11606197466973794,-6.310118114762573,0.09566758405358367,0.0,0.0,0.0
4,2,-0.04184089110779486,0.20756956401982513,-51.6902898510559,0.0,0.0,0.0
5,5,-0.17733394658719398,-20.69165374216111,0.22642990666011883,0.0,0.0,0.0
6,5,-0.1386344368380859,8.189011903858225,-21.181050421906157,0.0,0.0,0.0
7,20,-0.057373060889467434,0.09067063228952156,-5.1129564910301095,0.0,0.0,0.0
8,22,9.055659873254964,-13.825999730796944,0.09702921477027493,2.0,2.0,0.0
9,12,-8.423166819477162,0.1871522836048181,0.12357649494172647,0.0,0.0,0.0
10,1,-0.07643493484142802,0.11876715137825569,-101.93374084965997,0.0,0.0,0.0
11,6,-16.797088082294255,0.16751557079384805,0.161824774042769,0.0,0.0,0.0
12,7,-14.30428149886487,-0.3678052316612411,5.809767452923241,0.0,0.0,0.0
13,22,-0.08548053680321799,0.12492838284132528,-4.633955778931724,0.0,0.0,0.0
14,81,-0.08892352463491336,-1.1204867086841517,0.06079171575013355,0.0,0.0,0.0
15,9,-0.07570962893526512,0.10532637276207858,-11.95948151344602,0.0,0.0,0.0
16,48,-0.07942354170037992,-2.085814164852728,-0.054447611379626885,0.0,0.0,0.0
17,7,-0.03450076267034807,-14.58107911137553,0.08814050356564583,0.0,0.0,0.0
18,13,-0.05784405184084605,-7.904449612083824,0.13891639943420186,0.0,0.0,0.0
19,10,-0.15150314488254774,-10.142688215052598,0.1766742051537189,0.0,0.0,0.0
20,9,-0.10621115138096474,0.18084816443385493,-12.128551113058446,0.0,0.0,0.0
21,5,-0.07380155738212424,0.11184045627153542,-20.50554146217683,0.0,0.0,0.0
22,8,-0.07986531996069457,0.025556498565854277,-13.592714503613776,0.0,0.0,0.0
23,19,-0.10238094404362702,-5.27734199286877,0.15790198587717813,0.0,0.0,0.0
24,4,-25.05281715597322,0.06947287080504204,0.09276181235346342,0.0,0.0,0.0
25,4,-0.10306595025916312,-25.462251350709987,0.1827737188673808,0.0,0.0,0.0
26,5,19.983303852223738,0.21541545980661425,-40.64780918308575,1.0,0.0,1.0
27,4,-25.082621705258777,0.142429321100013,0.11217205515840749,0.0,0.0,0.0
28,19,-5.3291435026161516,-5.874045760187634,0.09893547390388774,0.0,0.0,0.0
29,3,-0.0971472628332692,-35.005910473622414,0.10419195180807385,0.0,0.0,0.0
30,9,-11.173508982640223,0.16801040290445135,0.10561005451114076,0.0,0.0,0.0
31,3,-0.032544472047402066,-34.138180644554296,0.0868841010598592,0.0,0.0,0.0
32,7,-0.07696833344320123,0.15071534392992422,-14.823990744466002,0.0,0.0,0.0
33,28,-0.14744793318441277,0.18393479782491276,-3.57195909953984,0.0,0.0,0.0
34,10,-0.1076250980444348,0.17539335851982166,-10.638802900123668,0.0,0.0,0.0
35,17,-0.0484752239550086,0.10154501170724105,-6.065869626546255,0.0,0.0,0.0
36,11,-0.022340055806345592,0.036403783907285645,-10.099789211140719,0.0,0.0,0.0
37,13,-0.08307144463786212,-7.81800369507013,-0.13119688163432558,0.0,0.0,0.0
38,13,-7.824703377547835,0.17289085043936586,0.19249015918240886,0.0,0.0,0.0
39,63,-0.053272533742357395,-1.5732158538564698,0.10146305005201833,0.0,0.0,0.0
40,6,-0.1464992640413737,-17.860681996278796,0.18430878085183336,0.0,0.0,0.0
41,2,-0.029838899855520323,0.09591773848312668,-51.695868083996565,0.0,0.0,0.0
42,9,-0.09615036370571038,-11.389696216370611,0.10276444246311864,0.0,0.0,0.0
43,29,6.864863700503044,-10.982914724080848,0.12258669921804746,2.0,2.0,0.0
44,5,-0.1407150747156269,-20.914198249113376,-0.022060315638300736,0.0,0.0,0.0
45,3,-0.07428461985521946,0.09221643329771305,-34.96401602438629,0.0,0.0,0.0
46,19,-5.364317795526707,0.12354353009733166,0.13928011820371725,0.0,0.0,0.0
47,3,-33.35752382107478,0.11674476101500125,0.08215348620061695,0.0,0.0,0.0
48,1,-0.015112899105777029,-101.82256701159136,0.03312401982560663,0.0,0.0,0.0
49,1,-0.023083298600781885,0.13284420501979194,-102.22775861979208,0.0,0.0,0.0
50,107,3.692083984377702,-4.668760326953251,0.10481777339557978,4.0,4.0,0.0
51,15,-0.13547389284882963,-6.696556715371909,-0.08190904769230235,0.0,0.0,0.0
52,5,-0.05741448563900746,-0.04622700503629466,-20.737486032855493,0.0,0.0,0.0
53,21,-0.03537237708290128,-5.319754346356763,1.9795479638015443,0.0,0.0,0.0
54,47,-0.08679476325115669,-2.235152417926346,0.15337069026418673,0.0,0.0,0.0
55,8,-12.552007602176033,0.07966086995333074,-0.3728780251414384,0.0,0.0,0.0
56,2,-50.07049722096718,0.12810255646486443,0.07834600462579908,0.0,0.0,0.0
57,3,-0.031016652387187926,-34.15828054475217,0.03766018421561735,0.0,0.0,0.0
58,25,3.9653458398546384,-7.931900320140516,0.07806967508869377,2.0,2.0,0.0
59,4,-0.04966422856309237,0.09329761198489446,-25.691261759920707,0.0,0.0,0.0
60,25,-0.040005130481493165,0.07724154655076047,-4.157292865265407,0.0,0.0,0.0
61,5,-0.10033879650045488,0.11925970510365225,-21.2046389870732,0.0,0.0,0.0
62,13,-0.10332734456443839,0.1313781141330374,-7.627256390793912,0.0,0.0,0.0
63,6,-16.82393018110234,0.1996873655063434,-0.6581285476149902,0.0,0.0,0.0
64,23,-0.06304381776554421,1.8549755301699764,-4.589254591682554,0.0,0.0,0.0
65,2,-0.0953342069835672,0.13666860816499304,-51.65235088929772,0.0,0.0,0.0
66,2,-0.07035334530151303,0.09535372348667077,-51.50774371843623,0.0,0.0,0.0
67,12,-0.13448476037718787,0.1606702993288092,-8.401926999205505,0.0,0.0,0.0
68,11,-0.12352147102439885,3.7928897791340037,-9.384163410172063,0.0,0.0,0.0
69,24,-0.1135562807137035,-4.101431489205482,0.1364072738135935,0.0,0.0,0.0
70,14,7.118486667899674,-4.279914767171241,-7.103739061144475,1.0,0.0,1.0
71,7,-0.11095961933665939,-14.799671397180637,0.13574799030257598,0.0,0.0,0.0
72,1,-100.15622782148853,-0.07583557773195886,0.25695020547435754,0.0,0.0,0.0
73,9,22.201026650909423,-11.521926610677498,-22.181025564837583,2.0,0.0,2.0
74,16,-0.09114725985584457,0.117736738953436,-6.4888132320773275,0.0,0.0,0.0
75,18,-5.626652657863671,0.182762493642066,0.10986462427322798,0.0,0.0,0.0
76,25,15.956888198177792,-12.091182499435694,-7.938349209802457,4.0,2.0,2.0
77,56,-0.0960413515826202,-0.9476860888097266,-0.14724362025998425,0.0,0.0,0.0
