episode,steps,reward_0,reward_1,reward_2,collisions_0,collisions_1,collisions_2
21,7,-0.1304735296110566,-0.1304735296110566,-14.650859148843946,0.0,0.0,0.0
22,50,-0.16294270867037788,-2.1629427086703776,0.18241963666339764,0.0,0.0,0.0
23,12,-8.5317548843125568,-0.19842155097922323,0.19385985414355233,0.0,0.0,0.0
24,5,-20.191056434865281,-0.1910564348652804,8.2363121725811936,0.0,0.0,0.0
25,34,-0.14516610957151568,-0.14516610957151568,-1.6937300138094866,0.0,0.0,0.0
26,27,-0.23306469824130416,-0.23306469824130416,-3.5129052757091923,0.0,0.0,0.0
27,4,-0.31068635349336726,-0.31068635349336726,-25.454523632501246,0.0,0.0,0.0
28,92,3.1249775069207177,4.2119340286598481,-3.766452580906591,0.0,4.0,4.0
29,5,-0.1908811230951894,-20.190881123095188,-21.728379841661727,0.0,0.0,0.0
30,17,-0.27126666078363804,-0.27126666078363804,-4.0217933724749058,0.0,0.0,0.0
31,7,-0.21586228926298184,-0.21586228926298184,-14.558156165741503,0.0,0.0,0.0
32,20,-5.1808563460721411,-0.18085634607214057,0.19831644049494423,0.0,0.0,0.0
33,81,2.3423823408276832,1.1078144395931151,-2.3179677207441238,0.0,2.0,2.0
34,6,-16.93229462742595,-0.26562796075928302,0.29047709411232531,0.0,0.0,0.0
35,2,-50.287375601609618,-0.28737560160961834,0.11137646198158549,0.0,0.0,0.0
36,33,-3.238527865691871,-0.20822483538884032,1.4426506361188558,0.0,0.0,0.0
37,4,-25.282073104474716,-0.28207310447471506,0.3043260905751824,0.0,0.0,0.0
38,43,-0.22931359614653898,-0.22931359614653898,-2.2971260834059386,0.0,0.0,0.0
39,3,-0.16682388557293146,-0.16682388557293146,-34.169314573906114,0.0,0.0,0.0
40,1,-0.27120036637150724,-100.2712003663715,0.28744981863343766,0.0,0.0,0.0
41,19,-0.26207776927118503,-0.26207776927118503,-5.2351950449851197,0.0,0.0,0.0
42,93,4.1487677726782906,3.07349895547399,-3.263573685556354,3.0,1.0,4.0
43,27,-0.16734168045101075,-3.8710453841547148,0.16729723426272911,0.0,0.0,0.0
44,3,-0.11090956112035144,33.222423772212984,-20.010359719209358,1.0,0.0,1.0
45,5,-20.333529025820887,-0.3335290258208895,0.20696951020936996,0.0,0.0,0.0
46,96,1.9381147335945161,0.89644806692784951,-1.9572898846376978,0.0,2.0,2.0
47,28,-0.17175112984025404,-3.7431797012688257,1.6265705777157606,0.0,0.0,0.0
48,24,-0.16244791700377767,-0.16244791700377767,-4.2857899516169526,0.0,0.0,0.0
49,19,5.1769959783896153,5.1769959783896153,-11.296671682949139,1.0,0.0,1.0
